"Passengers from abroad on luxury liners at the Port of Reykjavik"

"Unit","2016"
"Germany",30488
"United States",21243
"United Kingdom",19893
"France",2298
"Netherlands",2481
"Russia",203
"Canada",3299
"Switzerland and Liechtenstein",2222
"Austria",1424
"Belgium",1115
"Norway",394
"Australia",2655
"Italy",1652
"Sweden",205
"Spain",936
"Other countries",8168
